Date,Open,High,Low,Close,Adj Close,Volume
1993-05-18,17.335905,17.731188,17.279438,17.731188,9.086844,160930
1993-05-19,17.618250,17.787657,17.392376,17.787657,9.115787,191478
1993-05-20,17.674719,17.731188,17.448845,17.505314,8.971093,106253
1993-05-21,17.505314,17.561781,17.392376,17.448845,8.942156,115993
1993-05-24,17.448845,17.505314,17.166500,17.392376,8.913215,54455
1993-05-25,17.279438,17.335905,17.222969,17.335905,8.977546,43387
1993-05-26,17.222969,17.448845,17.222969,17.448845,9.036036,30327
1993-05-27,17.448845,17.674719,17.448845,17.561781,9.094516,127947
1993-05-28,17.561781,17.561781,17.505314,17.561781,9.094516,76148
1993-06-01,17.448845,17.731188,17.279438,17.674719,9.153004,153403
1993-06-02,17.561781,17.731188,17.561781,17.731188,9.182247,53569
1993-06-03,17.674719,18.013531,17.674719,17.900595,9.269978,167571
1993-06-04,17.787657,17.900595,17.731188,17.844126,9.240734,66408
1993-06-07,17.731188,17.787657,17.505314,17.731188,9.182247,196790
1993-06-08,17.618250,17.618250,17.448845,17.448845,9.036036,403763
1993-06-09,17.505314,17.731188,17.392376,17.448845,9.036036,454676
1993-06-10,17.448845,17.561781,17.392376,17.505314,9.065276,71500
1993-06-11,17.392376,17.561781,17.335905,17.448845,9.036036,204759
1993-06-14,17.392376,17.561781,17.392376,17.448845,9.036036,84117
1993-06-15,17.335905,17.448845,17.053562,17.166500,8.889820,161151
1993-06-16,17.110031,17.561781,17.110031,17.505314,9.065276,217377
1993-06-17,17.505314,17.618250,17.505314,17.561781,9.094516,57775
1993-06-18,17.618250,17.957064,17.561781,17.787657,9.211490,185058
1993-06-21,17.844126,17.844126,17.674719,17.787657,9.211490,125069
1993-06-22,17.674719,18.070000,17.674719,17.957064,9.299219,283785
1993-06-23,17.900595,18.352345,17.900595,18.126469,9.386950,429441
1993-06-24,18.070000,19.255844,18.070000,18.804094,9.737863,657665
1993-06-25,18.860563,19.086437,18.747625,18.804094,9.737863,580188
1993-06-28,18.691156,18.860563,18.691156,18.747625,9.708620,399336
1993-06-29,18.634687,18.860563,18.578218,18.860563,9.767106,260764
1993-06-30,18.804094,18.917030,18.804094,18.860563,9.767106,173547
1993-07-01,18.860563,18.917030,18.747625,18.860563,9.767106,334920
1993-07-02,18.860563,18.860563,18.691156,18.691156,9.679373,91865
1993-07-06,18.691156,18.860563,18.691156,18.860563,9.767106,398450
1993-07-07,18.860563,18.973499,18.804094,18.973499,9.825592,780077
1993-07-08,19.029968,19.086437,18.804094,19.029968,9.854830,815274
1993-07-09,18.973499,19.086437,18.917030,19.086437,9.884078,108910
1993-07-12,19.086437,19.199375,19.029968,19.029968,9.854830,276259
1993-07-13,19.086437,19.142906,18.408813,18.804094,9.737863,251467
1993-07-14,18.747625,18.860563,18.747625,18.804094,9.737863,141671
1993-07-15,18.747625,18.860563,18.578218,18.804094,9.737863,112009
1993-07-16,18.860563,19.029968,18.804094,18.973499,9.825592,548755
1993-07-19,18.973499,18.973499,18.917030,18.973499,9.825592,222247
1993-07-20,18.973499,18.973499,18.804094,18.804094,9.737863,55783
1993-07-21,18.804094,18.973499,18.634687,18.973499,9.825592,197676
1993-07-22,18.070000,18.126469,17.844126,18.013531,9.328461,619369
1993-07-23,17.957064,17.957064,17.448845,17.505314,9.065276,442280
1993-07-26,17.561781,17.561781,17.279438,17.392376,9.006792,304593
1993-07-27,17.392376,18.013531,17.392376,18.013531,9.328461,286663
1993-07-28,18.070000,18.070000,17.731188,17.731188,9.182247,230437
1993-07-29,17.561781,17.844126,17.448845,17.448845,9.036036,151854
1993-07-30,17.674719,18.126469,17.505314,18.126469,9.386950,274931
1993-08-02,18.070000,18.182938,17.900595,17.957064,9.299219,226453
1993-08-03,17.844126,17.957064,17.561781,17.674719,9.153004,135695
1993-08-04,17.674719,17.844126,17.618250,17.844126,9.240734,78141
1993-08-05,17.844126,18.013531,17.844126,18.013531,9.328461,78362
1993-08-06,17.957064,18.070000,17.900595,18.070000,9.357700,151411
1993-08-09,18.070000,18.126469,18.013531,18.070000,9.357700,100719
1993-08-10,17.957064,18.013531,17.844126,18.013531,9.328461,105147
1993-08-11,18.070000,18.126469,17.957064,18.013531,9.328461,123962
1993-08-12,18.013531,18.013531,17.618250,17.787657,9.211490,157831
1993-08-13,17.787657,17.844126,17.674719,17.787657,9.211490,114222
1993-08-16,17.787657,17.844126,17.674719,17.787657,9.211490,168899
1993-08-17,17.505314,17.561781,17.222969,17.222969,8.919065,849142
1993-08-18,17.335905,17.392376,16.884155,17.166500,8.889820,699945
1993-08-19,17.166500,17.166500,16.827688,16.884155,8.743608,182623
1993-08-20,16.884155,16.997093,16.827688,16.884155,8.743608,81904
1993-08-23,16.714750,16.884155,16.488874,16.601812,8.597393,680022
1993-08-24,16.488874,16.827688,16.432405,16.771219,8.780695,345102
1993-08-25,16.771219,16.884155,16.714750,16.714750,8.751127,173547
1993-08-26,16.601812,16.771219,16.601812,16.658281,8.721565,137908
1993-08-27,16.601812,16.827688,16.601812,16.827688,8.810261,135030
1993-08-30,16.771219,16.940624,16.771219,16.940624,8.869383,158052
